"location_actividad","tags_categorias_actividades","name_actividad"
",","Monumentos y lugares de interes,Atracciones y lugares de interes","Kicker Rock"
"-78.50746,-0.214936","Lugares religiosos y sagrados,Edificios con valor arquitectonico,Atracciones y lugares de interes","Basilica"
"-78.51444,-0.221111","Areas historicas peatonales,Atracciones y lugares de interes","Quito Old Town"
"-78.51362,-0.220977","Lugares religiosos y sagrados,Edificios con valor arquitectonico,Atracciones y lugares de interes","Iglesia de La Compania de Jesus"
"-90.291794,-0.397891","Islas,Naturaleza y parques","North Seymour Island"
"-79.00315,-2.903655","Masas de agua,Naturaleza y parques","Rio Tomebamba"
"-90.31553,-0.757077","Formaciones geologicas,Naturaleza y parques","Las Grietas"
"-78.915146,-0.867052","Masas de agua,Naturaleza y parques","Laguna Quilotoa"
"-90.43075,-0.668933","Areas de naturaleza y vida silvestre,Naturaleza y parques","Reserva El Chato"
"-78.91571,-0.866456","Masas de agua,Naturaleza y parques","Laguna Quilotoa"
"-78.295555,-1.404444","Cascadas,Naturaleza y parques","Pailon del Diablo (Devil's Cauldron)"
"-79.22198,-2.782567","Parques nacionales,Naturaleza y parques","El Cajas National Park (Parque Nacional Cajas)"
",","Areas de naturaleza y vida silvestre,Naturaleza y parques","Cuyabeno Reserve"
"-78.76169,-0.068436","Areas de naturaleza y vida silvestre,Naturaleza y parques","Mariposas de Mindo"
",","Parques,Naturaleza y parques","Parque Metropolitano"
"-90.95854,-0.961942","Areas de naturaleza y vida silvestre,Naturaleza y parques","Concha de Perla"
"-78.436,-0.676997","Volcanes,Naturaleza y parques","Cotopaxi Volcano"
"-89.60861,-0.888056","Parques nacionales,Areas de naturaleza y vida silvestre,Naturaleza y parques","Cerro Tijeretas"
"-78.48514,-0.184349","Parques,Naturaleza y parques","Parque La Carolina"
"-78.43624,-0.653381","Parques nacionales,Areas de naturaleza y vida silvestre,Naturaleza y parques","Parque Nacional Cotopaxi"
"-78.2425,0.241","Cascadas,Naturaleza y parques","Peguche Waterfall"
"-90.961044,-0.971739","Islas,Naturaleza y parques","Las Tintoreras"
"-78.35155,0.293408","Masas de agua,Naturaleza y parques","Laguna Cuicocha"
"-78.44196,-1.466905","Volcanes,Naturaleza y parques","Tungurahua"
"-80.0273861,0.5053968","Actividades al aire libre,Zoologicos y acuarios,Naturaleza y parques","Mompiche"
"-78.270421,0.3020368","Actividades al aire libre,Zoologicos y acuarios,Naturaleza y parques","Cotacachi"
