"location_actividad","tags_categorias_actividades","name_actividad"
",","Tours de excursionismo y campamentos,Tours de naturaleza y vida silvestre,Actividades al aire libre,Tours,Tours en barco y deportes acuaticos","Galapagos Unbound - ROW Day Tours and Adventures"
"-90.31293,-0.746947","Buceo y esnorquel,Actividades al aire libre,Tours,Tours en barco y deportes acuaticos","Academy Bay Dive Center"
"-90.30666,-0.741445","Buceo y esnorquel,Tours en barco y deportes acuaticos,Actividades al aire libre,Tours","Scuba Iguana"
"-90.3133,-0.747049","Buceo y esnorquel,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Galapagos Travellers Dive Center"
",","Tours culturales,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Guayaquil A Guided Visit"
"-78.479294,-0.201034","Tours de naturaleza y vida silvestre,Tours culturales,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Rebecca Adventure Travel"
"-89.611496,-0.901935","Buceo y esnorquel,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Galapagos Underwater"
"-77.8203,-0.920594","Rafting y nado con salvavidas en el rio,Practica de kayak y canotaje,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","River People Rafting"
"-90.55072,-0.283442","Excursiones de pesca,Tours de naturaleza y vida silvestre,Tours en barco y deportes acuaticos,Tours,Actividades al aire libre","Galapagos Alternative"
"-90.313576,-0.743765","Buceo y esnorquel,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Galapagos Tip Top Dive & Training"
"-78.42304,-1.39756","Tours en bicicleta,Rafting y nado con salvavidas en el rio,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Geotours Adventure & Fun - Day Tours"
"-79.00894,-2.89875","Monumentos y lugares de interes,Museos de arte,Atracciones y lugares de interes,Museos","Prohibido Centro Cultural"
"-79.87693,-2.185657","Museos de historia,Museos militares,Museos","Museo Miniatura Guayaquil"
"-79.87693,-2.185657","Museos de historia,Museos de arte,Museos","Museum of Anthropology and Contemporary Art"
"-78.51274,-0.220151","Museos de arte,Museos","El Centro Cultural Metropolitano"
"-79.01146,-2.89625","Museos de arte,Museos","Museo Municipal de Arte Moderno"
",","Museos especializados,Museos","Museo Manuela Saenz"
"-78.514175,-0.22197","Museos de historia,Museos","Museum of Maria Augusta Urrutia (La Casa Museo Maria Augusta Urrutia)"
"-80.423805,-0.605031","Museos especializados,Museos","Museo Bahia de Caraquez"
"-78.51324,-0.221873","Museos militares,Museos","Museo Casa de Sucre"
"-79.00257,-2.900556","Museos especializados,Museos","El Museo de Las Conceptas"
"-78.515274,-0.220277","Museos de arte,Museos","San Francisco Museum and Convent (Museo Fray Pedro Gocial)"
"-89.60873,-0.888022","Lugares educativos,Museos de historia natural,Museos,Atracciones y lugares de interes","San Cristobal Interpretation Center"
"-78.421295,-1.39915","Tours para practicar rapel y barranquismo,Paravelismo y parapente,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Imagine Ecuador - Day Tours"
"-78.514915,-0.222632","Museos de historia,Museos especializados,Museos","Museo de la Ciudad"
"-79.002335,-2.902395","Museos especializados,Museos","Museo de las Culturas Aborigenes"
"-78.99666,-2.905772","Museos especializados,Museos","Pumapungo Museo"
"-78.4951,-0.2097","Museos especializados,Museos","Museo Nacional Quito"
"-78.997734,-2.907236","Museos de historia,Museos","Pumapungo Museum and Arqueological Park - MCYP"
"-78.45448,-0.00109","Museos especializados,Museos","Intinan Museum"
